epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.3142,1.9495,4.55153,0.00368,0.00067,0.03798,0.00037,8e-05,1.85123,4.21933,0.00589,0.00043342,0.00043342,0.00043342
2,41.9419,1.60769,3.12398,0.00284,0.01002,0.58752,0.19708,0.08765,1.654,3.72271,0.00504,0.000866017,0.000866017,0.000866017
3,59.4979,1.50484,2.49357,0.00265,0.81614,0.18527,0.55729,0.28546,1.65012,2.85964,0.00501,0.00128079,0.00128079,0.00128079
4,77.2205,1.49682,2.16551,0.00263,0.62017,0.62243,0.63997,0.31015,1.6866,2.15341,0.00527,0.00156798,0.00156798,0.00156798
5,96.0146,1.47936,1.81544,0.00251,0.68763,0.71317,0.75428,0.45967,1.34823,1.69188,0.00421,0.00153497,0.00153497,0.00153497
6,114.108,1.48401,1.66559,0.00253,0.76312,0.72486,0.81861,0.51948,1.35012,1.42373,0.00427,0.00150197,0.00150197,0.00150197
7,132.228,1.51272,1.53218,0.00262,0.81411,0.75691,0.86544,0.54172,1.36826,1.23832,0.00426,0.00146896,0.00146896,0.00146896
8,149.632,1.45545,1.35641,0.00245,0.8374,0.79242,0.87733,0.56497,1.30362,1.1324,0.00409,0.00143595,0.00143595,0.00143595
9,166.606,1.39371,1.23465,0.00239,0.84902,0.80419,0.88935,0.57175,1.3316,1.05406,0.00418,0.00140295,0.00140295,0.00140295
10,184.935,1.49336,1.18183,0.0026,0.89074,0.79239,0.89607,0.54421,1.40596,1.02758,0.00438,0.00136994,0.00136994,0.00136994
11,205.473,1.38804,1.11582,0.00242,0.87191,0.83468,0.91026,0.54052,1.47533,0.97693,0.00456,0.00133693,0.00133693,0.00133693
12,227.952,1.41191,1.06054,0.00246,0.85146,0.83803,0.91346,0.59402,1.29639,0.8772,0.00408,0.00130393,0.00130393,0.00130393
13,252.973,1.38375,0.97477,0.00236,0.85452,0.85457,0.91808,0.59382,1.3455,0.83279,0.00426,0.00127092,0.00127092,0.00127092
14,277.351,1.3875,0.94339,0.00236,0.85463,0.84914,0.9128,0.52196,1.54016,0.89099,0.00475,0.00123791,0.00123791,0.00123791
15,297.981,1.41258,0.92393,0.00242,0.888,0.84592,0.92027,0.56177,1.44944,0.83186,0.00449,0.00120491,0.00120491,0.00120491
16,319.072,1.41183,0.91254,0.00247,0.88037,0.83756,0.92531,0.60772,1.26281,0.78918,0.004,0.0011719,0.0011719,0.0011719
17,337.62,1.38344,0.88301,0.00253,0.88355,0.85456,0.93123,0.62232,1.24697,0.76626,0.0039,0.00113889,0.00113889,0.00113889
18,357.855,1.31892,0.81511,0.0023,0.8795,0.87708,0.93528,0.59164,1.38039,0.73801,0.00436,0.00110589,0.00110589,0.00110589
19,378.032,1.35507,0.80667,0.00234,0.91539,0.83736,0.93111,0.58103,1.39979,0.7394,0.00436,0.00107288,0.00107288,0.00107288
20,398.123,1.3451,0.79687,0.00233,0.92938,0.84721,0.93839,0.61395,1.30874,0.68286,0.0041,0.00103987,0.00103987,0.00103987
