epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.66586,0.96321,2.29111,0.01334,0.89665,0.65566,0.90416,0.66896,1.58082,0.9657,0.01154,0,0,0
2,5.92971,1.16853,2.44282,0.01394,0.89648,0.65805,0.90242,0.66861,1.57936,0.96616,0.01151,1.17822e-06,1.17822e-06,1.17822e-06
3,6.9978,0.98365,2.76468,0.02107,0.87835,0.66743,0.90236,0.66648,1.57681,0.96862,0.01147,2.33288e-06,2.33288e-06,2.33288e-06
4,8.07078,1.41436,2.22833,0.02985,0.87545,0.67608,0.90595,0.66777,1.57714,0.96783,0.01144,3.46397e-06,3.46397e-06,3.46397e-06
5,9.18012,1.34414,2.99375,0.02151,0.88175,0.67684,0.90599,0.66914,1.52097,1.05219,0.01101,4.5715e-06,4.5715e-06,4.5715e-06
6,10.9629,1.1032,2.0167,0.01418,0.84445,0.67131,0.90239,0.6687,1.51279,1.08239,0.01091,5.65548e-06,5.65548e-06,5.65548e-06
7,12.1208,1.28159,2.80462,0.01222,0.86167,0.67737,0.90636,0.66248,1.55748,1.05299,0.01138,6.71588e-06,6.71588e-06,6.71588e-06
8,13.1638,1.01363,2.21466,0.01029,0.86573,0.67784,0.90239,0.66558,1.55786,1.05593,0.01133,7.75273e-06,7.75273e-06,7.75273e-06
9,14.2875,1.18652,3.26808,0.01688,0.85339,0.6816,0.9023,0.68209,1.55335,1.05803,0.01128,8.76602e-06,8.76602e-06,8.76602e-06
10,15.3158,1.08721,2.34872,0.0103,0.84377,0.68539,0.89935,0.67946,1.54938,1.06206,0.01122,9.75574e-06,9.75574e-06,9.75574e-06
11,16.3582,1.17646,2.73176,0.01453,0.966,0.61994,0.89731,0.67571,1.55521,1.0976,0.01129,1.07219e-05,1.07219e-05,1.07219e-05
12,17.4498,0.94496,2.14015,0.01074,0.83548,0.68706,0.89688,0.67643,1.54808,1.06984,0.01116,1.16645e-05,1.16645e-05,1.16645e-05
13,18.5285,0.99194,1.99472,0.01592,0.83689,0.68699,0.89505,0.67338,1.54337,1.07917,0.01109,1.25835e-05,1.25835e-05,1.25835e-05
14,19.5338,1.17669,2.20409,0.01464,0.97019,0.61882,0.89356,0.67262,1.52724,1.09879,0.01088,1.3479e-05,1.3479e-05,1.3479e-05
15,20.5284,1.03752,1.85047,0.01299,0.8344,0.68485,0.89503,0.66717,1.52391,1.09205,0.01079,1.43509e-05,1.43509e-05,1.43509e-05
16,21.6499,1.07801,2.50765,0.02331,0.84001,0.68629,0.88717,0.67151,1.51734,1.08553,0.01064,1.51993e-05,1.51993e-05,1.51993e-05
17,22.6888,1.09057,2.40609,0.01493,0.83762,0.68637,0.8882,0.68684,1.51777,1.08938,0.01057,1.60241e-05,1.60241e-05,1.60241e-05
